level,num_start_user,winrate,drop,arpu,adrw,booster,exit_rate,adrw_per_user,booster_per_user
1,10472,1.00,0.04,0.01059553919,,,0.0435446906,0,0
2,10012,1.00,0.05,0.007367493864,571,,0.05783060328,0.05703156213,0
3,9529,1.00,0.08,0.008497722076,434,170,0.09308426907,0.04554517788,0.01784027705
4,8801,0.99,0.08,0.03311025551,404,117,0.06101579366,0.04590387456,0.01329394387
5,8058,0.84,0.09,0.06697902998,2094,756,0.04988830975,0.2598659717,0.0938198064
6,7311,0.92,0.09,0.06214292475,392,476,0.05717412119,0.05361783614,0.06510737245
7,6687,0.89,0.08,0.06779706142,1052,467,0.05877074921,0.1573201735,0.06983699716
8,6137,0.94,0.07,0.060599328,339,534,0.05067622617,0.05523871599,0.08701319863
9,5714,0.83,0.07,0.06380063139,2347,621,0.05530276514,0.4107455373,0.108680434
10,5310,0.88,0.09,0.09513835301,330,392,0.1322033898,0.06214689266,0.07382297552
11,4848,0.75,0.09,0.094782664,781,751,0.1252062706,0.1610973597,0.1549092409
12,4419,0.68,0.08,0.09266955487,840,901,0.09662819642,0.1900882553,0.2038922833
13,4073,0.71,0.06,0.08879287745,882,662,0.06776331942,0.216547999,0.1625337589
14,3824,0.72,0.06,0.09243207236,382,725,0.06563807531,0.09989539749,0.1895920502
15,3584,0.61,0.06,0.09678868054,1290,1324,0.07003348214,0.3599330357,0.3694196429
16,3356,0.66,0.05,0.1012759471,1111,708,0.06406436234,0.3310488677,0.210965435
17,3193,0.60,0.05,0.08729015716,831,803,0.04478546821,0.2602568118,0.2514876292
18,3044,0.57,0.06,0.08888505218,1020,878,0.05124835742,0.3350854139,0.2884362681
19,2870,0.71,0.04,0.06467619431,323,405,0.03554006969,0.112543554,0.1411149826
20,2768,0.37,0.06,0.1000400811,628,1661,0.03432080925,0.2268786127,0.6000722543
21,2613,0.57,0.04,0.08568975982,845,730,0.03750478377,0.3233830846,0.2793723689
22,2504,0.71,0.03,0.06466925817,646,426,0.04153354633,0.2579872204,0.1701277955
23,2430,0.61,0.03,0.06303798605,336,770,0.04362139918,0.1382716049,0.316872428
24,2352,0.64,0.03,0.07316129113,597,483,0.03613945578,0.2538265306,0.2053571429
25,2287,0.62,0.04,0.061541818,363,603,0.03760384784,0.1587232182,0.2636641889
26,2201,0.73,0.03,0.06433197088,831,360,0.04452521581,0.3775556565,0.1635620173
27,2141,0.32,0.06,0.1160526936,1218,1466,0.03176085941,0.5688930406,0.6847267632
28,2019,0.37,0.05,0.08989670497,1202,969,0.01783060921,0.5953442298,0.4799405646
29,1911,0.79,0.01,0.05171998105,244,248,0.03610675039,0.127681842,0.1297749869
30,1895,0.23,0.09,0.1477815513,1856,1965,0.0290237467,0.9794195251,1.036939314
31,1724,0.73,0.00,0.03263306964,222,130,0.01044083527,0.1287703016,0.07540603248
